Date,Platform,Campaign,Region,Spend,CPM,Impressions,Frequency,Clicks,Purchases,Revenue,Product_Category,Target_Audience,Creative_Type,Video_Completion_Rate,Customer_LTV,Is_Competitive_Event,Week,Month,CTR,CPC,CVR,ROAS
2024-01-01,Fb,Fb_Athletes_Video_Protein_001,West,1187.29,18.0,65960,2.75,527,15,1216.74,Protein,Athletes,Video,0.486,772.8,True,1,1,0.007989690721649484,2.25292220113852,0.028462998102466792,1.0248043864599214
2024-01-01,Fb,Fb_Athletes_Video_Protein_001,South,1081.89,18.0,60105,2.51,512,12,868.16,Protein,Athletes,Video,0.486,772.8,True,1,1,0.008518426087679894,2.11306640625,0.0234375,0.8024475686067899
2024-01-01,Fb,Fb_Athletes_Video_Protein_001,Northeast,648.47,18.0,36025,2.52,344,9,694.68,Protein,Athletes,Video,0.486,772.8,True,1,1,0.009548924358084663,1.8850872093023257,0.02616279069767442,1.0712600428701404
2024-01-01,Fb,Fb_Athletes_Video_Protein_001,Midwest,463.38,18.0,25743,2.49,272,6,482.66,Protein,Athletes,Video,0.486,772.8,True,1,1,0.010565979101114866,1.7036029411764706,0.022058823529411766,1.0416073201260305
2024-01-01,Fb,Fb_Athletes_Image_Preworkout_002,West,800.59,18.0,44477,3.1,418,14,852.22,Preworkout,Athletes,Image,,538.2,True,1,1,0.009398115880117814,1.915287081339713,0.03349282296650718,1.0644899386702307
2024-01-01,Fb,Fb_Athletes_Image_Preworkout_002,South,768.14,18.0,42674,2.33,419,11,619.71,Preworkout,Athletes,Image,,538.2,True,1,1,0.009818624923841215,1.83326968973747,0.026252983293556086,0.8067669955997605
2024-01-01,Fb,Fb_Athletes_Image_Preworkout_002,Northeast,833.42,18.0,46301,2.1,425,9,512.75,Preworkout,Athletes,Image,,538.2,True,1,1,0.009179067406751474,1.9609882352941175,0.021176470588235293,0.6152360154543928
2024-01-01,Fb,Fb_Athletes_Image_Preworkout_002,Midwest,437.34,18.0,24296,3.44,229,4,218.84,Preworkout,Athletes,Image,,538.2,True,1,1,0.009425419822192953,1.909781659388646,0.017467248908296942,0.5003887135866831
2024-01-01,Fb,Fb_Fitnessenth_Carousel_Weightloss_001,West,1341.67,18.0,74537,2.61,709,24,1504.39,Weightloss,Fitnessenth,Carousel,,448.5,True,1,1,0.00951205441592766,1.8923413258110016,0.03385049365303244,1.1212816862566801
2024-01-01,Fb,Fb_Fitnessenth_Carousel_Weightloss_001,South,1933.68,18.0,107426,2.71,906,39,2454.14,Weightloss,Fitnessenth,Carousel,,448.5,True,1,1,0.008433712509076015,2.1343046357615894,0.04304635761589404,1.269155185966654
2024-01-01,Fb,Fb_Fitnessenth_Carousel_Weightloss_001,Northeast,1645.58,18.0,91421,2.72,1022,47,2937.71,Weightloss,Fitnessenth,Carousel,,448.5,True,1,1,0.011179050765141488,1.610156555772994,0.04598825831702544,1.785212508659561
2024-01-01,Fb,Fb_Fitnessenth_Carousel_Weightloss_001,Midwest,1631.34,18.0,90630,2.33,809,32,2067.65,Weightloss,Fitnessenth,Carousel,,448.5,True,1,1,0.00892640406046563,2.016489493201483,0.03955500618046971,1.267454975664178
2024-01-01,Google,Google_Athletes_Search_Protein_001,West,1072.26,22.5,47656,4.31,732,23,1709.47,Protein,Athletes,Search,,940.8,True,1,1,0.015360080577471881,1.4648360655737704,0.031420765027322405,1.594268181224703
2024-01-01,Google,Google_Athletes_Search_Protein_001,South,1087.65,22.5,48339,3.56,871,24,1870.25,Protein,Athletes,Search,,940.8,True,1,1,0.01801857713233621,1.248737083811711,0.027554535017221583,1.719532937985565
2024-01-01,Google,Google_Athletes_Search_Protein_001,Northeast,829.92,22.5,36885,2.55,774,25,2025.71,Protein,Athletes,Search,,940.8,True,1,1,0.020984139894265962,1.072248062015504,0.03229974160206718,2.4408497204549837
2024-01-01,Google,Google_Athletes_Search_Protein_001,Midwest,860.95,22.5,38264,4.07,560,11,865.58,Protein,Athletes,Search,,940.8,True,1,1,0.014635166213673426,1.5374107142857143,0.019642857142857142,1.005377780358906
2024-01-01,Google,Google_Weightloss_Search_Diet_001,West,1161.19,22.5,51608,2.2,758,19,1117.46,Diet,Weightloss,Search,,393.12,True,1,1,0.014687645326305999,1.5319129287598945,0.025065963060686015,0.96234035773646
2024-01-01,Google,Google_Weightloss_Search_Diet_001,South,1582.85,22.5,70348,3.16,1383,55,3328.81,Diet,Weightloss,Search,,393.12,True,1,1,0.019659407516915903,1.1445046999276933,0.03976861894432393,2.103048298954418
2024-01-01,Google,Google_Weightloss_Search_Diet_001,Northeast,1913.75,22.5,85055,2.79,1528,41,2328.08,Diet,Weightloss,Search,,393.12,True,1,1,0.017964846275939098,1.2524541884816753,0.026832460732984294,1.2165016329196603
2024-01-01,Google,Google_Weightloss_Search_Diet_001,Midwest,1234.28,22.5,54857,2.9,1049,31,1888.04,Diet,Weightloss,Search,,393.12,True,1,1,0.01912244563136883,1.1766253574833174,0.029551954242135366,1.5296691188385132
2024-01-01,Google,Google_Fitnessenth_Display_Preworkout_001,West,1032.78,22.5,45901,2.28,988,18,1038.13,Preworkout,Fitnessenth,Display,,546.0,True,1,1,0.021524585521012614,1.0453238866396761,0.018218623481781375,1.0051801932647806
2024-01-01,Google,Google_Fitnessenth_Display_Preworkout_001,South,1016.07,22.5,45158,2.42,925,15,998.57,Preworkout,Fitnessenth,Display,,546.0,True,1,1,0.0204836352362815,1.0984540540540542,0.016216216216216217,0.9827767771905479
2024-01-01,Google,Google_Fitnessenth_Display_Preworkout_001,Northeast,641.51,22.5,28511,2.52,667,11,660.3,Preworkout,Fitnessenth,Display,,546.0,True,1,1,0.023394479323769774,0.961784107946027,0.01649175412293853,1.0292902682732927
